id;cash_in_hands;date;created_at;updated_at
1;40391;2021-08-14;2021-08-14T17:23:35;2021-08-15T05:52:50
2;47499;2021-08-14;2021-08-15T12:46:35;2021-08-15T01:45:19
3;22612;2021-08-15;2021-08-15T06:57:31;2021-08-14T23:16:15
4;48064;2021-08-15;2021-08-15T12:51:04;2021-08-14T23:51:53
5;47814;2021-08-15;2021-08-15T13:32:58;2021-08-15T07:20:36
6;70978;2021-08-14;2021-08-15T01:08:28;2021-08-15T15:07:17
7;42017;2021-08-14;2021-08-14T18:38:26;2021-08-15T13:17:19
8;55908;2021-08-15;2021-08-15T12:08:16;2021-08-14T21:50:00
9;89499;2021-08-14;2021-08-15T00:57:25;2021-08-14T17:37:58
10;14769;2021-08-15;2021-08-15T06:59:28;2021-08-15T09:42:00
