id;category_name;created_at;updated_at;deleted_at
1;Jordanian Views;2021-08-15T05:51:26;2021-08-14T20:29:31;2021-08-14T19:43:38
2;Cotton;2021-08-15T04:06:23;2021-08-15T00:11:49;2021-08-15T01:46:08
3;Serbian Loan;2021-08-15T01:36:10;2021-08-15T05:13:41;2021-08-14T21:53:08
4;JSON Account relationships;2021-08-15T06:46:01;2021-08-14T16:37:07;2021-08-15T07:03:36
5;generate Data;2021-08-14T18:06:16;2021-08-15T10:45:45;2021-08-15T04:16:33
6;Generic Customizable convergence;2021-08-14T16:05:04;2021-08-15T10:44:03;2021-08-14T20:07:22
7;quantifying Tala;2021-08-15T13:34:15;2021-08-15T04:35:45;2021-08-14T19:21:34
8;plug-and-play cyan;2021-08-15T15:24:28;2021-08-15T10:03:10;2021-08-14T19:25:07
9;Account;2021-08-15T07:58:29;2021-08-15T02:06:14;2021-08-15T04:09:59
10;maroon;2021-08-15T06:35:14;2021-08-14T19:12:28;2021-08-15T10:49:34
