id;quantity;date;note;created_at;updated_at
1;52489;2021-08-15T00:31:25;Granite transmitting;2021-08-15T06:00:32;2021-08-15T09:27:55
2;41289;2021-08-15T07:44:05;Compatible firmware Handmade;2021-08-14T22:36:43;2021-08-14T21:25:52
3;35643;2021-08-15T07:11:49;Village azure;2021-08-15T01:39:55;2021-08-15T08:53:15
4;88282;2021-08-14T18:04:20;Kids;2021-08-15T09:58:04;2021-08-14T23:35:27
5;12360;2021-08-15T13:45:03;Forward standardization calculating;2021-08-15T01:53:24;2021-08-15T08:07:57
6;88374;2021-08-15T08:37:44;integrate;2021-08-15T14:53:53;2021-08-15T00:01:54
7;13624;2021-08-15T06:29:27;District Director Lead;2021-08-14T18:07:12;2021-08-14T19:27:55
8;36668;2021-08-14T16:29:45;Mouse Practical;2021-08-15T13:21:01;2021-08-14T22:54:59
9;37006;2021-08-14T23:50:39;AI;2021-08-15T01:43:59;2021-08-14T17:45:29
10;79982;2021-08-15T05:32:46;redefine transitional index;2021-08-14T19:14:08;2021-08-15T05:50:51
