id;purpose;amount;created_at;updated_at;deleted_at
1;grid-enabled deposit;67241;2021-08-15T00:03:49;2021-08-15T11:37:34;2021-08-14T19:45:15
2;User Bacon visualize;32699;2021-08-14T20:02:37;2021-08-15T11:08:03;2021-08-15T05:47:48
3;blockchains SDD Indian;7080;2021-08-15T11:28:53;2021-08-15T09:10:58;2021-08-15T03:38:00
4;encryption Secured;7050;2021-08-14T21:34:06;2021-08-15T09:14:08;2021-08-14T23:02:19
5;e-services architectures Circles;16990;2021-08-15T08:25:43;2021-08-14T16:57:23;2021-08-15T05:34:42
6;synergize;44804;2021-08-15T06:37:30;2021-08-14T21:38:31;2021-08-15T11:52:35
7;Mauritius salmon Ports;17324;2021-08-14T23:00:03;2021-08-15T13:51:16;2021-08-15T08:41:32
8;infomediaries Ergonomic Handmade;65573;2021-08-15T06:07:09;2021-08-15T11:05:22;2021-08-15T11:21:18
9;Books Indiana;91167;2021-08-15T15:37:08;2021-08-15T05:36:56;2021-08-15T02:52:39
10;Granite Dynamic Granite;30326;2021-08-14T18:07:15;2021-08-15T03:12:26;2021-08-15T03:19:05
