id;amount;method;type;reference_no;note;date;created_at;updated_at;deleted_at;person_id
1;36635;Loan;CLIENT;Bacon core Rustic;Practical;2021-08-15T07:50:11;2021-08-14T20:23:28;2021-08-14T17:28:42;2021-08-15T03:33:19;1
2;81878;back;CLIENT;Skyway;Wooden Factors Automotive;2021-08-14T20:56:56;2021-08-15T10:49:33;2021-08-15T03:46:38;2021-08-15T13:27:14;2
3;31263;Wooden Wooden syndicate;FOURNISSEUR;bandwidth empower Pre-emptive;redundant Route Gorgeous;2021-08-15T04:45:54;2021-08-15T06:23:19;2021-08-15T03:55:18;2021-08-15T08:19:27;3
4;94679;Nigeria demand-driven Dynamic;CLIENT;Polynesia Legacy;Designer transmit fuchsia;2021-08-14T23:34:39;2021-08-15T14:37:52;2021-08-14T22:19:52;2021-08-14T22:58:29;4
5;62426;GB Music;FOURNISSEUR;Pass;Awesome Metrics Azerbaijan;2021-08-15T00:43:25;2021-08-14T22:00:00;2021-08-14T19:47:23;2021-08-15T03:23:07;5
6;63696;incubate Beauty;FOURNISSEUR;connecting;Virginia Lari;2021-08-14T22:38:31;2021-08-15T14:37:37;2021-08-14T17:12:08;2021-08-14T21:20:53;6
7;78411;reboot Borders deposit;CLIENT;virtual Shoes;Chair Brunei Buckinghamshire;2021-08-15T02:55:46;2021-08-14T21:55:45;2021-08-14T22:41:39;2021-08-14T23:10:18;7
8;57076;Checking;FOURNISSEUR;deposit incubate;Strategist EXE;2021-08-15T10:38:55;2021-08-14T22:06:18;2021-08-15T01:36:18;2021-08-15T09:32:43;8
9;42519;USB Senior;CLIENT;Right-sized Dollar South;Algerian;2021-08-15T11:32:06;2021-08-15T01:36:36;2021-08-14T17:07:15;2021-08-15T09:09:42;9
10;83646;reintermediate;FOURNISSEUR;rich;magenta Loan Sleek;2021-08-14T23:49:26;2021-08-15T08:43:49;2021-08-15T15:14:56;2021-08-15T11:24:52;10
