id;reference_no;quantity;sub_total;product_tax;date;created_at;updated_at;deleted_at
1;Avon up Pizza;62870;91284;27867;2021-08-15T06:46:15;2021-08-14T18:27:47;2021-08-14T22:34:51;2021-08-15T08:02:51
2;Pants non-volatile Chief;81477;7711;82505;2021-08-15T08:44:29;2021-08-15T13:10:28;2021-08-15T01:21:28;2021-08-15T09:54:48
3;mobile Associate Dynamic;37753;17872;30121;2021-08-15T07:46:22;2021-08-14T19:01:02;2021-08-14T17:33:59;2021-08-15T14:33:16
4;object-oriented;47906;90733;10554;2021-08-15T14:01:19;2021-08-15T03:54:40;2021-08-14T22:17:11;2021-08-14T19:55:07
5;payment Streamlined bypassing;35254;50625;52102;2021-08-15T15:37:58;2021-08-15T12:41:14;2021-08-15T13:49:54;2021-08-15T08:15:13
6;haptic;92687;80642;95306;2021-08-14T18:23:35;2021-08-15T10:46:34;2021-08-15T10:11:49;2021-08-15T06:03:57
7;Berkshire Music Mountain;71473;68434;35225;2021-08-15T07:47:14;2021-08-14T23:06:28;2021-08-15T03:14:22;2021-08-14T18:23:07
8;Applications;80920;3746;13364;2021-08-15T06:57:37;2021-08-15T11:42:13;2021-08-15T13:44:32;2021-08-14T22:29:11
9;collaborative Tasty withdrawal;75850;21171;91462;2021-08-14T18:26:15;2021-08-15T03:13:53;2021-08-14T20:32:34;2021-08-14T23:22:02
10;e-tailers;88482;37011;7160;2021-08-15T06:53:34;2021-08-15T10:12:41;2021-08-15T12:46:24;2021-08-15T15:08:08
