id;return_vat;sells_reference_no;return_units;return_amount;returned_by;created_at;updated_at;deleted_at
1;74876;orchestration payment;18510;26184;88392;2021-08-15T04:07:28;2021-08-14T22:35:54;2021-08-14T17:15:14
2;93358;Shoes Plastic;56969;61891;6373;2021-08-14T18:19:40;2021-08-14T18:02:46;2021-08-15T09:31:13
3;77715;deposit;27209;80467;99201;2021-08-15T12:32:17;2021-08-14T23:43:29;2021-08-15T08:30:47
4;74234;circuit;89620;17868;5244;2021-08-15T08:43:15;2021-08-14T20:26:41;2021-08-15T14:13:58
5;55163;applications;45716;28229;48025;2021-08-15T03:38:09;2021-08-15T00:41:19;2021-08-15T11:09:52
6;17881;Concrete;41789;32095;63333;2021-08-15T03:45:48;2021-08-14T20:00:23;2021-08-15T03:13:05
7;96034;JSON Developer;17026;16650;88709;2021-08-15T14:19:23;2021-08-15T13:14:22;2021-08-15T06:15:55
8;51494;Cheese Minnesota neural-net;52153;38327;88807;2021-08-15T13:39:51;2021-08-14T17:40:46;2021-08-15T10:23:14
9;76873;Chief Computer;64752;98388;17205;2021-08-14T20:59:19;2021-08-15T10:30:53;2021-08-15T09:16:18
10;37141;withdrawal circuit Pizza;33235;49261;28230;2021-08-15T06:56:09;2021-08-15T11:37:27;2021-08-15T05:25:02
