id;reference_no;quantity;unit_cost_price;sub_total;product_tax;date;created_at;updated_at;deleted_at
1;Licensed definition Managed;55233;87970;15929;68631;2021-08-15T07:50:26;2021-08-15T14:23:57;2021-08-15T08:56:25;2021-08-14T17:28:26
2;Bedfordshire Future Fish;36970;60504;37144;86656;2021-08-14T21:45:35;2021-08-15T04:06:38;2021-08-15T08:57:40;2021-08-15T04:25:54
3;Stravenue;80906;3936;33014;39358;2021-08-14T23:03:58;2021-08-14T17:47:20;2021-08-15T04:16:12;2021-08-14T17:01:56
4;Synchronised expedite Clothing;98568;46063;87648;90787;2021-08-15T01:20:55;2021-08-14T22:56:13;2021-08-15T13:03:10;2021-08-15T00:42:01
5;Cheese Buckinghamshire;77624;42105;8499;96913;2021-08-15T10:17:24;2021-08-15T10:33:45;2021-08-15T06:31:10;2021-08-15T06:56:38
6;Forward Concrete;43632;12367;81785;50940;2021-08-15T15:28:07;2021-08-14T22:17:31;2021-08-14T20:30:36;2021-08-15T13:50:32
7;Reactive bypass viral;72998;24514;61080;61479;2021-08-15T04:59:02;2021-08-15T10:33:19;2021-08-15T03:20:57;2021-08-15T02:59:44
8;empower Pants visionary;24854;88750;97346;68928;2021-08-15T03:19:42;2021-08-15T14:23:20;2021-08-15T01:15:59;2021-08-15T08:37:18
9;Cotton iterate;67799;14440;9652;35007;2021-08-14T20:55:11;2021-08-15T07:29:14;2021-08-15T11:36:40;2021-08-15T13:31:09
10;Card invoice Granite;83543;13251;38685;48151;2021-08-15T10:16:43;2021-08-14T22:53:37;2021-08-15T15:19:56;2021-08-15T05:40:46
