id;reference_no;transaction_type;total_cost_price;discount;total;invoice_tax;total_tax;labor_cost;net_total;paid;change_amount;return_invoice;return_balance;pos;date;created_at;updated_at;deleted_at
1;Kentucky;OPENING;9490;25397;61420;47193;16431;99701;87407;56354;99553;empowering Shilling Buckinghamshire;15757;false;2021-08-15T04:36:26;2021-08-15T11:22:18;2021-08-15T15:22:33;2021-08-15T00:38:45
2;disintermediate internet matrix;OPENING;38698;13230;87884;28894;27354;60550;11223;36557;97190;Automotive;63183;true;2021-08-14T19:44:10;2021-08-15T03:14:37;2021-08-14T15:52:50;2021-08-14T16:12:35
3;up;PURCHASE;25904;72941;41434;29343;65952;98576;66143;36496;83128;scalable Course;99687;true;2021-08-14T21:00:45;2021-08-15T11:15:02;2021-08-15T07:03:16;2021-08-14T23:26:25
4;4th Licensed;SELL;51541;49871;18132;84427;88371;97312;84148;89810;39480;withdrawal Cloned;72853;false;2021-08-15T11:54:40;2021-08-15T06:25:02;2021-08-15T12:15:13;2021-08-14T21:52:07
5;Island optical olive;PURCHASE;21598;58305;1085;72319;72424;26605;41793;72528;91887;compressing Maryland;88660;true;2021-08-15T04:07:48;2021-08-14T17:50:42;2021-08-15T12:15:34;2021-08-14T19:10:56
6;multi-byte mindshare optical;SELL;704;39088;55084;85161;94028;41000;88171;97414;45678;holistic;21281;true;2021-08-15T03:23:39;2021-08-15T09:30:31;2021-08-15T03:01:59;2021-08-15T06:03:05
7;SMTP Developer Producer;OPENING;55739;60065;96685;87484;4088;49489;39837;90776;92075;calculating Chair Belgium;57896;false;2021-08-15T11:18:33;2021-08-15T03:08:53;2021-08-15T03:02:53;2021-08-14T23:38:39
8;ADP Chair green;OPENING;65230;35763;43098;1616;95961;51860;11454;50605;65050;synergies digital;70767;true;2021-08-14T23:16:53;2021-08-15T09:22:48;2021-08-15T02:06:53;2021-08-15T01:26:07
9;software Drive program;PURCHASE;89946;51213;86659;72646;55758;15781;53143;98438;83122;object-oriented Rubber invoice;40355;true;2021-08-15T03:36:45;2021-08-15T11:36:56;2021-08-15T08:18:08;2021-08-14T20:09:56
10;Money Consultant;SELL;2852;87030;39230;68683;84533;72922;75984;98729;41660;Concrete;2536;false;2021-08-14T17:06:10;2021-08-15T05:01:48;2021-08-15T14:53:02;2021-08-14T17:55:24
